,company_ID,company_name,company_pic,company_address,company_phone,company_email,company_field,transaction_date,level_training_process,purchasing_time_patterns,number_of_participants,group,total_payment,satisfaction,communication_channel,complaints,communication_quality,possibility_of_purchasing_the_same_training,frequency_engagement,brand_sustainability,rating_training,tren_mode_factor,interest_in_discount_program,prefered_category,training_ID,training_type,training_name,trainer_name,training_total_meetings,training_price,discount_training,cross_selling,upselling
1937,P1938,PT Sudiati,KH. Emil Tamba,"Gg. PHH. Mustofa No. 788
Palangkaraya, Bali 66443",(0750) 380 6700,zulaikadwi@example.com,Pertambangan dan Penggalian,2025-04-21,1,bulan,2,Retail,18000000.0,2,email,negatif,buruk,20,8,30,2,Tidak,1,Office & Administration Series,B1938,Office & Administration Series,Manajemen Filling & Tata Kelola Kantor,Iqbal,7,9000000,0,Secretary Development Program,Manajemen Filling & Tata Kelola Kantor
1938,P1939,CV Riyanti Haryanto (Persero) Tbk,"Panca Situmorang, S.Pt","Gang Dipatiukur No. 8
Tual, KU 96094",+62 (010) 421-6579,suartinitirta@example.net,Aktivitas Badan Internasional Dan Badan Ekstra Internasional Lainnya,2025-04-22,5,diskon,13,Group,36400000.0,4,social media,positif,bagus,80,22,90,5,Ya,5,Sales & Marketing Series,B1939,Sales & Marketing Series,Sales Forecasting: for Sales Target Results,Rian,17,7000000,60,Professional Selling Skills,Sales Forecasting: for Sales Target Results
1939,P1940,Perum Nashiruddin Haryanti,"R. Najam Laksmiwati, S.Pt","Jalan Waringin No. 55
Sukabumi, JK 21614",+62 (068) 552-5685,farah08@example.net,Aktivitas Kesehatan Manusia Dan Aktivitas Sosial,2025-04-23,2,bulan,2,Retail,6000000.0,2,phone,negatif,buruk,25,8,25,1,Tidak,1,Other Series,B1940,Other Series,Information Security Awareness,Ibun,7,3000000,0,Customer Service Excellence For Basic and Frontliner,Information Security Awareness
1940,P1941,PD Iswahyudi,R.M. Wadi Wacana,"Gang Lembong No. 6
Langsa, Kalimantan Utara 03692",085 976 4299,lhartati@example.com,Perdagangan Besar Dan Eceran; Reparasi Dan Perawatan Mobil Dan Sepeda Motor,2025-04-24,5,diskon,18,Group,63000000.0,5,social media,positif,bagus,80,29,85,5,Ya,5,Training Series,B1941,Training Series,Comprehensive Train The Trainers,Haris,14,7000000,50,Train The Trainer For Outbond (Indoor-outdoor) Activity,Comprehensive Train The Trainers
1941,P1942,CV Prastuti Dabukke,Asirwada Saputra,"Gang Merdeka No. 1
Pematangsiantar, Kalimantan Selatan 84610",+62 (0102) 835 3884,nainggolanbetania@example.com,Aktivitas Jasa Lainnya,2025-04-25,5,diskon,17,Group,65450000.0,5,social media,positif,bagus,90,25,90,5,Ya,5,Sales & Marketing Series,B1942,Sales & Marketing Series,Sales Forecasting: for Sales Target Results,Haris,17,7000000,45,Professional Selling Skills,Sales Forecasting: for Sales Target Results
1942,P1943,CV Putra,Mumpuni Napitupulu,"Jalan Raya Setiabudhi No. 19
Cilegon, PA 20913",(025) 236-7104,cemplunk72@example.net,Aktivitas Kesehatan Manusia Dan Aktivitas Sosial,2025-04-26,4,diskon,11,Group,53900000.0,4,social media,positif,bagus,75,19,65,3,Ya,4,Training Series,B1943,Training Series,Comprehensive Train The Trainers,Haris,11,7000000,30,Train The Trainer For Outbond (Indoor-outdoor) Activity,Comprehensive Train The Trainers
1943,P1944,PT Hakim,Putri Prasetya,"Jalan Gedebage Selatan No. 58
Cilegon, Gorontalo 25054",+62 (756) 157 6966,ypermadi@example.com,"Pengadaan Listrik, Gas, Uap/Air Panas Dan Udara Dingin",2025-04-27,5,diskon,17,Group,71400000.0,4,social media,positif,bagus,85,27,85,4,Ya,5,Other Series,B1944,Other Series,Health And Safety Environment,Ibun,17,7000000,40,Customer Service Excellence For Basic and Frontliner,Health And Safety Environment
1944,P1945,PT Habibi Permata,Zulfa Haryanto,"Gang Suryakencana No. 93
Tanjungbalai, KS 78968",0802248826,xhastuti@example.net,Konstruksi,2025-04-28,5,diskon,19,Group,102600000.0,5,social media,positif,bagus,90,23,80,5,Ya,5,HR Series,B1945,HR Series,Build A Great and Strong Corporate Culture,Reza,15,9000000,40,People (HR) Analytics: For HR & Non HR Professional,Build A Great and Strong Corporate Culture
1945,P1946,PD Susanti,"Dt. Saadat Usada, M.Farm","Gg. Pacuan Kuda No. 89
Singkawang, LA 52787",+62 (045) 312-0144,prabowobajragin@example.net,Aktivitas Jasa Lainnya,2025-04-29,2,hari spesifik,1,Retail,10000000.0,2,email,negatif,sedang,25,6,35,1,Tidak,2,HR Series,B1946,HR Series,People (HR) Analytics: For HR & Non HR Professional,Reza,8,10000000,0,Planning and organizing for stellar performance,People (HR) Analytics: For HR & Non HR Professional
1946,P1947,PT Nababan,"Gilda Purnawati, M.Pd","Gang Wonoayu No. 83
Sibolga, PB 91141",+62-042-041-2519,upik93@example.com,"Treatment Air, Treatment Air Limbah, Treatment dan Pemulihan Material Sampah, dan Aktivitas Remediasi",2025-04-30,4,diskon,11,Group,57750000.0,4,social media,positif,bagus,65,17,70,4,Ya,3,Other Series,B1947,Other Series,Health And Safety Environment,Ibun,14,7000000,25,Information Security Awareness,Health And Safety Environment
1947,P1948,PD Yuniar Sihombing,Perkasa Jailani,"Jl. Monginsidi No. 6
Kota Administrasi Jakarta Utara, BB 99170",+62 (0858) 311-0770,putama@example.org,Pertambangan dan Penggalian,2025-05-01,3,bulan,5,Retail,52250000.0,2,phone,netral,sedang,50,13,45,3,Tidak,2,Office & Administration Series,B1948,Office & Administration Series,Manajemen Filling & Tata Kelola Kantor,Iqbal,11,11000000,5,Interactive Dashboard with Microsoft Excel,Manajemen Filling & Tata Kelola Kantor
1948,P1949,PD Nashiruddin Hidayat,"Kawaca Dabukke, M.Pd","Gg. Rawamangun No. 9
Blitar, Kalimantan Utara 82965",(0125) 133 3343,kmandasari@example.org,Pengangkutan dan Pergudangan,2025-05-02,5,diskon,12,Group,79200000.0,4,social media,positif,bagus,85,25,80,5,Ya,5,HR Series,B1949,HR Series,Build A Great and Strong Corporate Culture,Reza,17,11000000,40,Planning and organizing for stellar performance,Build A Great and Strong Corporate Culture
1949,P1950,CV Sihotang Latupono,Warji Puspasari,"Gang Kiaracondong No. 1
Cilegon, Jawa Tengah 69754",+62 (99) 953 6843,cahyono64@example.com,"Treatment Air, Treatment Air Limbah, Treatment dan Pemulihan Material Sampah, dan Aktivitas Remediasi",2025-05-03,2,bulan,1,Retail,4000000.0,2,email,negatif,buruk,35,7,35,2,Tidak,2,Other Series,B1950,Other Series,Information Security Awareness,Ibun,8,4000000,0,Customer Service Excellence For Basic and Frontliner,Information Security Awareness
1950,P1951,UD Tamba,Sutan Karta Namaga,"Gg. KH Amin Jasuta No. 39
Metro, YO 99067",+62 (847) 217-4621,wmulyani@example.com,"Pertanian, Kehutanan dan Perikanan",2025-05-04,5,diskon,12,Group,36000000.0,5,social media,positif,bagus,90,20,85,5,Ya,5,Other Series,B1951,Other Series,Health And Safety Environment,Iqbal,16,6000000,50,Information Security Awareness,Health And Safety Environment
1951,P1952,PD Safitri Tbk,Estiono Samosir,"Jalan Ahmad Yani No. 0
Tasikmalaya, SG 31869",+62 (0508) 960-5665,waskitagatra@example.com,Pendidikan,2025-05-05,3,bulan,4,Retail,30400000.0,2,phone,netral,sedang,50,11,40,2,Tidak,2,Training Series,B1952,Training Series,Comprehensive Train The Trainers,Haris,9,8000000,5,Train The Trainer For Outbond (Indoor-outdoor) Activity,Comprehensive Train The Trainers
1952,P1953,Perum Thamrin Siregar,Laswi Wibowo,"Gang M.H Thamrin No. 0
Bekasi, BB 13557",+62-011-647-8179,kambalisaragih@example.com,"Aktivitas Profesional, Ilmiah Dan Teknis",2025-05-06,3,diskon,11,Group,52800000.0,4,social media,positif,bagus,75,16,70,4,Ya,4,Training Series,B1953,Training Series,Train The Trainer For Outbond (Indoor-outdoor) Activity,Haris,14,6000000,20,Comprehensive Train The Trainers,Train The Trainer For Outbond (Indoor-outdoor) Activity
1953,P1954,PD Kusumo Yolanda Tbk,Jaeman Maryati,"Gang Soekarno Hatta No. 52
Tegal, Jawa Tengah 64560",+62 (62) 199-0076,narpatiarsipatra@example.org,"Treatment Air, Treatment Air Limbah, Treatment dan Pemulihan Material Sampah, dan Aktivitas Remediasi",2025-05-07,2,bulan,2,Retail,4000000.0,1,email,negatif,bagus,20,6,25,1,Tidak,1,Other Series,B1954,Other Series,Information Security Awareness,Ibun,6,2000000,0,Customer Service Excellence For Basic and Frontliner,Information Security Awareness
1954,P1955,PT Suryatmi,Cengkal Hakim,"Gg. Sadang Serang No. 8
Banjarmasin, KU 39409",+62 (091) 487 5620,nugrohogarda@example.org,Aktivitas Badan Internasional Dan Badan Ekstra Internasional Lainnya,2025-05-08,5,peristiwa khusus,18,Group,69300000.0,5,social media,positif,bagus,90,23,85,5,Ya,5,Sales & Marketing Series,B1955,Sales & Marketing Series,Sales Forecasting: for Sales Target Results,Rian,17,7000000,45,Professional Selling Skills,Sales Forecasting: for Sales Target Results
1955,P1956,PT Hasanah Kurniawan,Paiman Hidayat,"Jalan Rawamangun No. 11
Purwokerto, Sulawesi Tenggara 59713",(0374) 225-9613,maida06@example.com,Perdagangan Besar Dan Eceran; Reparasi Dan Perawatan Mobil Dan Sepeda Motor,2025-05-09,4,peristiwa khusus,20,Group,120000000.0,4,social media,positif,bagus,85,26,90,5,Ya,5,Training Series,B1956,Training Series,Comprehensive Train The Trainers,Haris,17,10000000,40,Train The Trainer For Outbond (Indoor-outdoor) Activity,Comprehensive Train The Trainers
1956,P1957,CV Nainggolan,"Labuh Pudjiastuti, S.Farm","Gg. Gedebage Selatan No. 122
Palu, YO 41558",+62 (089) 141-8787,fitria32@example.com,"Pertanian, Kehutanan dan Perikanan",2025-05-10,4,diskon,7,Group,11200000.0,4,social media,positif,bagus,65,17,70,4,Ya,4,Other Series,B1957,Other Series,Information Security Awareness,Ibun,11,2000000,20,Health And Safety Environment,Information Security Awareness
1957,P1958,PD Rahimah Ardianto (Persero) Tbk,Jamal Manullang,"Jalan HOS. Cokroaminoto No. 95
Bukittinggi, MA 06377",+62-089-072-3551,permatalatif@example.org,Pendidikan,2025-05-11,4,diskon,20,Group,120000000.0,5,social media,positif,bagus,80,29,80,5,Ya,5,Training Series,B1958,Training Series,Comprehensive Train The Trainers,Haris,17,10000000,40,Drill for Trainers: Mastering 10 Core Trainer's Tools,Comprehensive Train The Trainers
1958,P1959,CV Mayasari Padmasari,Soleh Haryanto,"Jl. Dipatiukur No. 05
Surabaya, Jawa Tengah 47345",+62 (0489) 369-1132,qnamaga@example.net,Perdagangan Besar Dan Eceran; Reparasi Dan Perawatan Mobil Dan Sepeda Motor,2025-05-12,5,peristiwa khusus,16,Group,50400000.0,5,social media,positif,bagus,85,27,90,5,Ya,5,Training Series,B1959,Training Series,Comprehensive Train The Trainers,Alam,14,7000000,55,Train The Trainer For Outbond (Indoor-outdoor) Activity,Comprehensive Train The Trainers
1959,P1960,PT Uyainah,Sabrina Nasyidah,"Jl. Kutisari Selatan No. 1
Pangkalpinang, NB 89093",+62 (026) 913-3354,luhungsuwarno@example.com,Aktivitas Keuangan dan Asuransi,2025-05-13,4,diskon,11,Group,28600000.0,4,social media,positif,bagus,70,18,70,4,Ya,4,Finance Series,B1960,Finance Series,International Banking Facility,Ibun,11,4000000,35,Cash Flow & Credit Management,International Banking Facility
1960,P1961,PD Aryani Mandala Tbk,"drg. Kezia Thamrin, S.IP","Jl. Tubagus Ismail No. 631
Sawahlunto, Sumatera Utara 60381",086 794 5480,gandewanashiruddin@example.com,Pengangkutan dan Pergudangan,2025-05-14,3,bulan,5,Retail,52250000.0,3,social media,netral,sedang,50,12,50,3,Tidak,3,HR Series,B1961,HR Series,People (HR) Analytics: For HR & Non HR Professional,Reza,11,11000000,5,Build A Great and Strong Corporate Culture,People (HR) Analytics: For HR & Non HR Professional
1961,P1962,Perum Padmasari Pranowo Tbk,Farah Purnawati,"Jl. Dipenogoro No. 6
Kediri, Sulawesi Barat 28329",(0416) 127 8471,slamet19@example.org,Aktivitas Keuangan dan Asuransi,2025-05-15,5,diskon,18,Group,64800000.0,4,social media,positif,bagus,85,21,90,5,Ya,5,Finance Series,B1962,Finance Series,International Banking Facility,Ibun,16,6000000,40,Cash Flow & Credit Management,International Banking Facility
1962,P1963,PT Sihotang Pratiwi Tbk,Hj. Paramita Astuti,"Gang Pacuan Kuda No. 303
Tomohon, JI 00341",+62-32-603-3427,salwazulkarnain@example.net,Aktivitas Jasa Lainnya,2025-05-16,5,diskon,14,Group,63000000.0,4,social media,positif,bagus,90,24,85,5,Ya,5,HR Series,B1963,HR Series,Build A Great and Strong Corporate Culture,Reza,15,9000000,50,People (HR) Analytics: For HR & Non HR Professional,Build A Great and Strong Corporate Culture
1963,P1964,CV Suryono Tbk,Queen Situmorang,"Gg. Asia Afrika No. 53
Bandar Lampung, Papua 31035",(094) 830 0426,kmandala@example.com,"Aktivitas Penyewaan dan Sewa Guna Usaha Tanpa Hak Opsi, Ketenagakerjaan, Agen Perjalanan dan Penunjang Usaha Lainnya",2025-05-17,4,diskon,17,Group,71400000.0,5,social media,positif,bagus,80,22,90,5,Ya,5,Finance Series,B1964,Finance Series,International Banking Facility,Ibun,17,7000000,40,Cash Flow & Credit Management,International Banking Facility
1964,P1965,UD Namaga Simanjuntak,Radit Nasyiah,"Jl. Ir. H. Djuanda No. 7
Blitar, PA 34264",+62 (46) 572 9364,hwidodo@example.org,"Aktivitas Penyewaan dan Sewa Guna Usaha Tanpa Hak Opsi, Ketenagakerjaan, Agen Perjalanan dan Penunjang Usaha Lainnya",2025-05-18,2,bulan,6,Retail,17100000.0,2,phone,netral,sedang,55,12,40,3,Tidak,3,Credit & Collection Series,B1965,Credit & Collection Series,Managing Corporate Collection,Iqbal,10,3000000,5,Mengelola NPL dengan Early Warning Sysstem (EWS),Managing Corporate Collection
1965,P1966,PD Siregar Jailani,Usyi Samosir,"Gg. Rawamangun No. 8
Palangkaraya, Bengkulu 19797",+62 (064) 895-7655,ibrani05@example.org,"Kesenian, Hiburan Dan Rekreasi",2025-05-19,1,bulan,1,Retail,5000000.0,2,email,negatif,buruk,25,8,25,2,Tidak,1,Training Series,B1966,Training Series,Train The Trainer For Outbond (Indoor-outdoor) Activity,Haris,8,5000000,0,Drill for Trainers: Mastering 10 Core Trainer's Tools,Train The Trainer For Outbond (Indoor-outdoor) Activity
1966,P1967,UD Hutapea Adriansyah,Titin Budiyanto,"Jl. Cempaka No. 4
Lhokseumawe, BA 67626",(0077) 684 8724,gambira45@example.net,"Pertanian, Kehutanan dan Perikanan",2025-05-20,5,diskon,16,Group,67200000.0,4,social media,positif,bagus,90,22,90,5,Ya,5,Other Series,B1967,Other Series,Health And Safety Environment,Ibun,17,7000000,40,Information Security Awareness,Health And Safety Environment
1967,P1968,CV Riyanti Situmorang (Persero) Tbk,Dewi Agustina,"Jalan Kutai No. 89
Jambi, RI 88569",(0541) 019-7359,rprabowo@example.com,"Treatment Air, Treatment Air Limbah, Treatment dan Pemulihan Material Sampah, dan Aktivitas Remediasi",2025-05-21,5,diskon,13,Group,36400000.0,5,social media,positif,bagus,90,23,85,4,Ya,5,Other Series,B1968,Other Series,Health And Safety Environment,Ibun,17,7000000,60,Customer Service Excellence For Basic and Frontliner,Health And Safety Environment
1968,P1969,Perum Susanti (Persero) Tbk,Paulin Farida,"Jalan Moch. Toha No. 12
Tanjungpinang, KS 85472",+62 (29) 441-3498,hnatsir@example.com,"Aktivitas Penyewaan dan Sewa Guna Usaha Tanpa Hak Opsi, Ketenagakerjaan, Agen Perjalanan dan Penunjang Usaha Lainnya",2025-05-22,3,hari spesifik,5,Retail,33250000.0,3,phone,netral,bagus,50,11,45,3,Tidak,3,Finance Series,B1969,Finance Series,International Banking Facility,Ibun,11,7000000,5,Finance for Non Finance Executive,International Banking Facility
1969,P1970,CV Fujiati Marpaung Tbk,"Ir. Titi Budiman, S.Kom","Gang Moch. Toha No. 61
Tasikmalaya, LA 28692",(0243) 019 3944,chelseasiregar@example.org,Pertambangan dan Penggalian,2025-05-23,4,diskon,18,Group,81000000.0,5,social media,positif,bagus,80,29,90,5,Ya,5,Leadership & Managerial Series,B1970,Leadership & Managerial Series,Analis Data dan Penampilannya bagi Presentase Manajemen,Iqbal,17,10000000,55,Effective Time & Activity Management,Analis Data dan Penampilannya bagi Presentase Manajemen
1970,P1971,PD Pradana,Langgeng Haryanto,"Jalan Rungkut Industri No. 86
Padangpanjang, SR 05313",+62 (65) 023-7400,nugraha99@example.org,"Pertanian, Kehutanan dan Perikanan",2025-05-24,3,bulan,3,Retail,13500000.0,3,email,netral,sedang,45,12,50,2,Tidak,3,Other Series,B1971,Other Series,Information Security Awareness,Ibun,11,5000000,10,Health And Safety Environment,Information Security Awareness
1971,P1972,CV Anggraini,"Ratih Damanik, S.Pt","Gg. Suryakencana No. 765
Cilegon, LA 76348",+62 (0156) 769 5505,jumari76@example.net,Informasi Dan Komunikasi,2025-05-25,4,diskon,15,Group,82500000.0,5,social media,positif,bagus,85,28,90,5,Ya,5,Training Series,B1972,Training Series,Comprehensive Train The Trainers,Haris,17,10000000,45,Train The Trainer For Outbond (Indoor-outdoor) Activity,Comprehensive Train The Trainers
1972,P1973,CV Sinaga Megantara (Persero) Tbk,Baktiono Anggriawan,"Jl. Moch. Toha No. 5
Makassar, LA 82785",0864557762,galakpratiwi@example.net,"Administrasi Pemerintahan, Pertahanan Dan Jaminan Sosial Wajib",2025-05-26,2,bulan,1,Retail,10000000.0,2,email,negatif,buruk,25,5,25,2,Tidak,2,Office & Administration Series,B1973,Office & Administration Series,Manajemen Filling & Tata Kelola Kantor,Iqbal,8,10000000,0,Secretary Development Program,Manajemen Filling & Tata Kelola Kantor
1973,P1974,PD Prastuti,"Damu Widodo, M.Ak","Gang W.R. Supratman No. 8
Tual, Sulawesi Utara 20865",+62 (07) 196 9992,mansurjoko@example.com,"Aktivitas Penyewaan dan Sewa Guna Usaha Tanpa Hak Opsi, Ketenagakerjaan, Agen Perjalanan dan Penunjang Usaha Lainnya",2025-05-27,5,diskon,19,Group,66500000.0,5,social media,positif,bagus,80,29,85,5,Ya,5,Finance Series,B1974,Finance Series,International Banking Facility,Ibun,17,7000000,50,Cash Flow & Credit Management,International Banking Facility
1974,P1975,UD Pangestu Mayasari,Silvia Nasyiah,"Gang Laswi No. 9
Sungai Penuh, SS 90045",(033) 800-4116,qdamanik@example.org,Pengangkutan dan Pergudangan,2025-05-28,4,diskon,9,Group,64350000.0,4,social media,positif,bagus,70,18,75,4,Ya,4,HR Series,B1975,HR Series,Build A Great and Strong Corporate Culture,Reza,14,11000000,35,People (HR) Analytics: For HR & Non HR Professional,Build A Great and Strong Corporate Culture
1975,P1976,PT Saptono Sinaga,"T. Jasmani Nugroho, M.Kom.","Gg. Suryakencana No. 098
Parepare, MA 78950",+62 (0830) 781 2197,prayoga23@example.net,Pengangkutan dan Pergudangan,2025-05-29,1,bulan,2,Retail,20000000.0,2,email,negatif,sedang,25,5,25,2,Tidak,2,HR Series,B1976,HR Series,People (HR) Analytics: For HR & Non HR Professional,Reza,8,10000000,0,Planning and organizing for stellar performance,People (HR) Analytics: For HR & Non HR Professional
1976,P1977,PD Saefullah,Ikhsan Laksmiwati,"Gang Cikutra Timur No. 8
Yogyakarta, Aceh 29587",+62 (20) 834-6411,anggrainibahuraksa@example.com,"Pertanian, Kehutanan dan Perikanan",2025-05-30,2,diskon,3,Retail,12750000.0,3,phone,netral,sedang,50,10,45,2,Tidak,3,Other Series,B1977,Other Series,Health And Safety Environment,Ibun,9,5000000,15,Customer Service Excellence For Basic and Frontliner,Health And Safety Environment
1977,P1978,UD Maryadi Nurdiyanti,Maya Iswahyudi,"Jalan Raya Ujungberung No. 58
Parepare, Maluku 16596",+62-066-565-3964,dindawulandari@example.org,Aktivitas Keuangan dan Asuransi,2025-05-31,5,diskon,20,Group,48000000.0,5,social media,positif,bagus,90,23,80,5,Ya,5,Finance Series,B1978,Finance Series,International Banking Facility,Ibun,16,6000000,60,Cash Flow & Credit Management,International Banking Facility
1978,P1979,UD Nashiruddin Saefullah,"Jono Lazuardi, M.Kom.","Jl. Jend. Sudirman No. 2
Cirebon, PB 88956",(0870) 831 2712,agustinajarwa@example.net,Pertambangan dan Penggalian,2025-06-01,5,diskon,19,Group,34200000.0,4,social media,positif,bagus,90,27,90,5,Ya,5,Office & Administration Series,B1979,Office & Administration Series,Interactive Dashboard with Microsoft Excel,Iqbal,14,3000000,40,Manajemen Filling & Tata Kelola Kantor,Interactive Dashboard with Microsoft Excel
1979,P1980,CV Yulianti Tbk,Sutan Muni Gunawan,"Gang Pasteur No. 2
Medan, RI 68602",+62 (0180) 935-9286,karimankuswoyo@example.org,Aktivitas Kesehatan Manusia Dan Aktivitas Sosial,2025-06-02,5,diskon,17,Group,59500000.0,5,social media,positif,bagus,85,29,80,5,Ya,5,Other Series,B1980,Other Series,Health And Safety Environment,Ibun,17,7000000,50,Information Security Awareness,Health And Safety Environment
1980,P1981,UD Nurdiyanti Iswahyudi,Ikin Purwanti,"Gang Jamika No. 2
Jayapura, Kepulauan Bangka Belitung 16739",+62-46-569-2453,kayun03@example.net,"Treatment Air, Treatment Air Limbah, Treatment dan Pemulihan Material Sampah, dan Aktivitas Remediasi",2025-06-03,5,diskon,19,Group,79800000.0,5,social media,positif,bagus,85,29,90,5,Ya,5,Other Series,B1981,Other Series,Health And Safety Environment,Ibun,17,7000000,40,Information Security Awareness,Health And Safety Environment
1981,P1982,Perum Gunarto,Elisa Fujiati,"Gg. Jend. Sudirman No. 01
Kota Administrasi Jakarta Barat, MU 19757",+62 (32) 547 5030,rutama@example.com,"Kesenian, Hiburan Dan Rekreasi",2025-06-04,2,hari spesifik,2,Retail,10000000.0,2,phone,negatif,buruk,25,6,25,2,Tidak,2,Training Series,B1982,Training Series,Train The Trainer For Outbond (Indoor-outdoor) Activity,Haris,8,5000000,0,Drill for Trainers: Mastering 10 Core Trainer's Tools,Train The Trainer For Outbond (Indoor-outdoor) Activity
1982,P1983,PT Maulana Salahudin Tbk,"dr. Bagus Manullang, S.IP","Jalan Kiaracondong No. 8
Tanjungpinang, Sumatera Utara 11449",082 312 4994,mulyanizulfa@example.org,IPenyediaan Akomodasi Dan Penyediaan Makan Minum,2025-06-05,3,bulan,6,Retail,39900000.0,3,phone,netral,sedang,50,11,40,3,Tidak,3,Sales & Marketing Series,B1983,Sales & Marketing Series,Professional Selling Skills,Haris,10,7000000,5,Sales Forecasting: for Sales Target Results,Professional Selling Skills
1983,P1984,CV Wijaya Tbk,Yosef Sihotang,"Jl. Raya Ujungberung No. 58
Bengkulu, JK 69807",+62-073-036-2231,bsihotang@example.com,Pertambangan dan Penggalian,2025-06-06,5,diskon,16,Group,57600000.0,5,social media,positif,bagus,90,26,90,4,Ya,5,Office & Administration Series,B1984,Office & Administration Series,Interactive Dashboard with Microsoft Excel,Iqbal,17,6000000,40,Manajemen Filling & Tata Kelola Kantor,Interactive Dashboard with Microsoft Excel
1984,P1985,CV Farida Haryanti Tbk,Zahra Kuswoyo,"Gang Rajawali Barat No. 940
Tasikmalaya, Jambi 10559",+62 (073) 753-3506,rahmawatipuspa@example.net,"Treatment Air, Treatment Air Limbah, Treatment dan Pemulihan Material Sampah, dan Aktivitas Remediasi",2025-06-07,3,bulan,4,Retail,25200000.0,3,email,netral,sedang,40,14,40,3,Tidak,3,Other Series,B1985,Other Series,Health And Safety Environment,Ibun,11,7000000,10,Information Security Awareness,Health And Safety Environment
1985,P1986,PD Pangestu Tbk,Panca Wasita,"Gg. Pasirkoja No. 215
Probolinggo, ST 22313",+62 (31) 987 9656,cagakwijaya@example.net,"Kesenian, Hiburan Dan Rekreasi",2025-06-08,4,diskon,11,Group,88000000.0,4,social media,positif,buruk,70,17,65,3,Ya,4,Training Series,B1986,Training Series,Comprehensive Train The Trainers,Haris,14,10000000,20,Train The Trainer For Outbond (Indoor-outdoor) Activity,Comprehensive Train The Trainers
1986,P1987,PD Utami Anggraini,Balangga Firmansyah,"Gang HOS. Cokroaminoto No. 53
Kupang, Kepulauan Riau 42987",+62 (0722) 242-8352,ibunnovitasari@example.net,Aktivitas Jasa Lainnya,2025-06-09,5,diskon,17,Group,59500000.0,5,social media,positif,bagus,80,25,90,5,Ya,5,Sales & Marketing Series,B1987,Sales & Marketing Series,Sales Forecasting: for Sales Target Results,Rian,17,7000000,50,Professional Selling Skills,Sales Forecasting: for Sales Target Results
1987,P1988,PD Pradana,Qori Sihombing,"Jl. R.E Martadinata No. 19
Bukittinggi, YO 02718",+62 (083) 298 2886,qsetiawan@example.net,"Pertanian, Kehutanan dan Perikanan",2025-06-10,5,diskon,12,Group,50400000.0,4,social media,positif,bagus,80,22,90,4,Ya,5,Other Series,B1988,Other Series,Health And Safety Environment,Ibun,17,7000000,40,Information Security Awareness,Health And Safety Environment
1988,P1989,PD Gunawan (Persero) Tbk,"Mustika Marbun, S.Ked","Gang Gedebage Selatan No. 62
Bontang, Sulawesi Barat 62656",(090) 365-4730,limannapitupulu@example.com,Aktivitas Keuangan dan Asuransi,2025-06-11,4,diskon,10,Group,8000000.0,4,phone,positif,bagus,70,17,70,4,Ya,3,Credit & Collection Series,B1989,Credit & Collection Series,Managing Corporate Collection,Ibun,11,1000000,20,Professional Debt Collection Skills,Managing Corporate Collection
1989,P1990,PT Wibowo,drg. Kala Prayoga,"Gang Rajawali Timur No. 0
Banjarmasin, Sumatera Utara 60418",+62 (0021) 325 4951,kuswoyoeva@example.org,Informasi Dan Komunikasi,2025-06-12,4,musiman,10,Group,63000000.0,4,email,positif,bagus,70,17,75,4,Ya,4,Training Series,B1990,Training Series,Comprehensive Train The Trainers,Haris,13,9000000,30,Train The Trainer For Outbond (Indoor-outdoor) Activity,Comprehensive Train The Trainers
1990,P1991,PT Pradana Budiman (Persero) Tbk,Respati Yuniar,"Gang Ciwastra No. 30
Makassar, Jawa Tengah 47986",+62 (005) 970 7800,garangmardhiyah@example.net,"Administrasi Pemerintahan, Pertahanan Dan Jaminan Sosial Wajib",2025-06-13,4,diskon,18,Group,72000000.0,4,social media,positif,bagus,80,22,90,5,Ya,5,Leadership & Managerial Series,B1991,Leadership & Managerial Series,Analis Data dan Penampilannya bagi Presentase Manajemen,Ibun,17,10000000,60,Effective Time & Activity Management,Analis Data dan Penampilannya bagi Presentase Manajemen
1991,P1992,CV Situmorang (Persero) Tbk,"Almira Namaga, S.Psi","Gg. Jayawijaya No. 8
Cilegon, JT 31990",+62 (095) 104 6974,fsuwarno@example.com,"Aktivitas Profesional, Ilmiah Dan Teknis",2025-06-14,3,hari spesifik,5,Retail,38000000.0,2,phone,netral,bagus,45,10,40,3,Tidak,2,Training Series,B1992,Training Series,Comprehensive Train The Trainers,Haris,9,8000000,5,Drill for Trainers: Mastering 10 Core Trainer's Tools,Comprehensive Train The Trainers
1992,P1993,Perum Napitupulu (Persero) Tbk,"KH. Darmaji Gunawan, S.Gz","Gg. Jayawijaya No. 215
Samarinda, SS 01266",+62 (278) 624-9012,faridacakrajiya@example.com,IPenyediaan Akomodasi Dan Penyediaan Makan Minum,2025-06-15,4,peristiwa khusus,7,Group,49000000.0,4,social media,positif,bagus,75,15,65,4,Ya,4,HR Series,B1993,HR Series,Build A Great and Strong Corporate Culture,Reza,13,10000000,30,People (HR) Analytics: For HR & Non HR Professional,Build A Great and Strong Corporate Culture
